date,week_start_date,date_label_raw,price_label_raw,price,frequency,product_name,market,unit,currency,series_name,source_name,source_dataset,source_url
2022-05-01,2022-04-25,25 de abril al 01 de mayo de 2022,"$8.436,00",8436.0,weekly,cacao,colombia_reference_purchase_price,cop/kg,COP,colombia_cocoa_price_cop_kg,AgroNet / Ministerio de Agricultura y Desarrollo Rural,Precio de referencia semanal de compra de cacao,https://agronet.gov.co/noticias/precio-de-referencia-semanal-de-compra-de-cacao-fuente-industria-nacional-exportadores-0
2022-05-08,2022-05-02,02 al 08 de mayo de 2022,"$8.378,30",8378.3,weekly,cacao,colombia_reference_purchase_price,cop/kg,COP,colombia_cocoa_price_cop_kg,AgroNet / Ministerio de Agricultura y Desarrollo Rural,Precio de referencia semanal de compra de cacao,https://agronet.gov.co/noticias/precio-de-referencia-semanal-de-compra-de-cacao-fuente-industria-nacional-exportadores-0
2022-05-15,2022-05-09,09 al 15 de mayo de 2022,"$8.582,50",8582.5,weekly,cacao,colombia_reference_purchase_price,cop/kg,COP,colombia_cocoa_price_cop_kg,AgroNet / Ministerio de Agricultura y Desarrollo Rural,Precio de referencia semanal de compra de cacao,https://agronet.gov.co/noticias/precio-de-referencia-semanal-de-compra-de-cacao-fuente-industria-nacional-exportadores-0
2022-05-22,2022-05-16,16 al 22 de mayo de 2022,"$8.478,20",8478.2,weekly,cacao,colombia_reference_purchase_price,cop/kg,COP,colombia_cocoa_price_cop_kg,AgroNet / Ministerio de Agricultura y Desarrollo Rural,Precio de referencia semanal de compra de cacao,https://agronet.gov.co/noticias/precio-de-referencia-semanal-de-compra-de-cacao-fuente-industria-nacional-exportadores-0
2022-05-29,2022-05-23,23 al 29 de mayo de 2022,"$8.282,30",8282.3,weekly,cacao,colombia_reference_purchase_price,cop/kg,COP,colombia_cocoa_price_cop_kg,AgroNet / Ministerio de Agricultura y Desarrollo Rural,Precio de referencia semanal de compra de cacao,https://agronet.gov.co/noticias/precio-de-referencia-semanal-de-compra-de-cacao-fuente-industria-nacional-exportadores-0
2022-06-05,2022-05-30,30 de mayo al 05 de junio de 2022,"$8.006,70",8006.7,weekly,cacao,colombia_reference_purchase_price,cop/kg,COP,colombia_cocoa_price_cop_kg,AgroNet / Ministerio de Agricultura y Desarrollo Rural,Precio de referencia semanal de compra de cacao,https://agronet.gov.co/noticias/precio-de-referencia-semanal-de-compra-de-cacao-fuente-industria-nacional-exportadores-0
2022-06-12,2022-06-06,06 al 12 de junio de 2022,"$7.992,20",7992.2,weekly,cacao,colombia_reference_purchase_price,cop/kg,COP,colombia_cocoa_price_cop_kg,AgroNet / Ministerio de Agricultura y Desarrollo Rural,Precio de referencia semanal de compra de cacao,https://agronet.gov.co/noticias/precio-de-referencia-semanal-de-compra-de-cacao-fuente-industria-nacional-exportadores-0
2022-06-19,2022-06-13,13 al 19 de junio de 2022,"$7.916,20",7916.2,weekly,cacao,colombia_reference_purchase_price,cop/kg,COP,colombia_cocoa_price_cop_kg,AgroNet / Ministerio de Agricultura y Desarrollo Rural,Precio de referencia semanal de compra de cacao,https://agronet.gov.co/noticias/precio-de-referencia-semanal-de-compra-de-cacao-fuente-industria-nacional-exportadores-0
2022-06-26,2022-06-20,20 al 26 de junio de 2022,"$7.789,20",7789.2,weekly,cacao,colombia_reference_purchase_price,cop/kg,COP,colombia_cocoa_price_cop_kg,AgroNet / Ministerio de Agricultura y Desarrollo Rural,Precio de referencia semanal de compra de cacao,https://agronet.gov.co/noticias/precio-de-referencia-semanal-de-compra-de-cacao-fuente-industria-nacional-exportadores-0
2022-07-03,2022-06-27,27 de junio al 03 de julio de 2022,"$7.852,50",7852.5,weekly,cacao,colombia_reference_purchase_price,cop/kg,COP,colombia_cocoa_price_cop_kg,AgroNet / Ministerio de Agricultura y Desarrollo Rural,Precio de referencia semanal de compra de cacao,https://agronet.gov.co/noticias/precio-de-referencia-semanal-de-compra-de-cacao-fuente-industria-nacional-exportadores-0
2022-07-10,2022-07-04,04 al 10 de julio de 2022,"$7.885,80",7885.8,weekly,cacao,colombia_reference_purchase_price,cop/kg,COP,colombia_cocoa_price_cop_kg,AgroNet / Ministerio de Agricultura y Desarrollo Rural,Precio de referencia semanal de compra de cacao,https://agronet.gov.co/noticias/precio-de-referencia-semanal-de-compra-de-cacao-fuente-industria-nacional-exportadores-0
