2026-04-16 09:21:58,913 | INFO | v2_disaster_pipeline | Running v2 pipeline on C:\Users\LEONA\Documents\GitHub\cocoa_volatility\REPORTE_DE_EVENTOS_POR_DESASTRES_NATURALES_Y_ANTRÓPICOS_(Histórico)_20260415.csv
2026-04-16 09:21:59,080 | INFO | v2_disaster_pipeline | cleaned_registry shape: rows=970 columns=63
2026-04-16 09:21:59,231 | INFO | v2_disaster_pipeline | translated_registry shape: rows=970 columns=73
2026-04-16 09:21:59,514 | INFO | v2_disaster_pipeline | classified_registry shape: rows=594 columns=78
2026-04-16 09:21:59,612 | INFO | v2_disaster_pipeline | monthly_panel shape: rows=36 columns=23
2026-04-16 09:22:02,356 | INFO | v2_disaster_pipeline | Exported V3 integrated panel with disaster_pressure indicator.
2026-04-16 09:22:35,438 | INFO | v2_disaster_pipeline | Running v2 pipeline on C:\Users\LEONA\Documents\GitHub\cocoa_volatility\REPORTE_DE_EVENTOS_POR_DESASTRES_NATURALES_Y_ANTRÓPICOS_(Histórico)_20260415.csv
2026-04-16 09:22:35,619 | INFO | v2_disaster_pipeline | cleaned_registry shape: rows=970 columns=63
2026-04-16 09:22:35,777 | INFO | v2_disaster_pipeline | translated_registry shape: rows=970 columns=73
2026-04-16 09:22:36,081 | INFO | v2_disaster_pipeline | classified_registry shape: rows=594 columns=78
2026-04-16 09:22:36,184 | INFO | v2_disaster_pipeline | monthly_panel shape: rows=36 columns=23
2026-04-16 09:22:38,846 | INFO | v2_disaster_pipeline | Exported V3 integrated panel with disaster_pressure indicator.
2026-04-16 09:22:40,520 | INFO | v2_disaster_pipeline | Generated V3 integrated visualizations.
2026-04-16 09:25:02,549 | INFO | v2_disaster_pipeline | Running v2 pipeline on C:\Users\LEONA\Documents\GitHub\cocoa_volatility\REPORTE_DE_EVENTOS_POR_DESASTRES_NATURALES_Y_ANTRÓPICOS_(Histórico)_20260415.csv
2026-04-16 09:25:02,725 | INFO | v2_disaster_pipeline | cleaned_registry shape: rows=970 columns=63
2026-04-16 09:25:02,853 | INFO | v2_disaster_pipeline | translated_registry shape: rows=970 columns=73
2026-04-16 09:25:03,099 | INFO | v2_disaster_pipeline | classified_registry shape: rows=594 columns=78
2026-04-16 09:25:03,198 | INFO | v2_disaster_pipeline | monthly_panel shape: rows=36 columns=23
2026-04-16 09:25:06,054 | INFO | v2_disaster_pipeline | Exported V3 integrated panel with disaster_pressure indicator.
2026-04-16 09:25:07,420 | INFO | v2_disaster_pipeline | Generated V3 integrated visualizations.
2026-04-16 09:25:24,111 | INFO | v2_disaster_pipeline | Rendered Pandoc outputs: {'docx': 'C:\\Users\\LEONA\\Documents\\GitHub\\cocoa_volatility\\reports\\v2\\disaster_crisis_report_v2.docx', 'pdf': 'C:\\Users\\LEONA\\Documents\\GitHub\\cocoa_volatility\\reports\\v2\\disaster_crisis_report_v2.pdf'}
2026-04-16 09:25:24,112 | INFO | v2_disaster_pipeline | Completed v2 pipeline using branch=pca_index
2026-04-16 09:28:28,625 | INFO | v2_disaster_pipeline | Running v2 pipeline on C:\Users\LEONA\Documents\GitHub\cocoa_volatility\REPORTE_DE_EVENTOS_POR_DESASTRES_NATURALES_Y_ANTRÓPICOS_(Histórico)_20260415.csv
2026-04-16 09:28:28,736 | INFO | v2_disaster_pipeline | cleaned_registry shape: rows=970 columns=63
2026-04-16 09:28:28,838 | INFO | v2_disaster_pipeline | translated_registry shape: rows=970 columns=73
2026-04-16 09:28:29,069 | INFO | v2_disaster_pipeline | classified_registry shape: rows=594 columns=78
2026-04-16 09:28:29,142 | INFO | v2_disaster_pipeline | monthly_panel shape: rows=36 columns=23
2026-04-16 09:28:31,150 | INFO | v2_disaster_pipeline | Exported V3 integrated panel with disaster_pressure indicator.
2026-04-16 09:28:33,077 | INFO | v2_disaster_pipeline | Generated V3 integrated information figures.
2026-04-16 09:28:33,077 | INFO | v2_disaster_pipeline | Generated V3 integrated visualizations.
2026-04-16 09:28:49,724 | INFO | v2_disaster_pipeline | Rendered Pandoc outputs: {'docx': 'C:\\Users\\LEONA\\Documents\\GitHub\\cocoa_volatility\\reports\\v2\\disaster_crisis_report_v2.docx', 'pdf': 'C:\\Users\\LEONA\\Documents\\GitHub\\cocoa_volatility\\reports\\v2\\disaster_crisis_report_v2.pdf'}
2026-04-16 09:28:49,725 | INFO | v2_disaster_pipeline | Completed v2 pipeline using branch=pca_index
2026-04-16 10:11:49,927 | INFO | v2_disaster_pipeline | Running v2 pipeline on C:\Users\LEONA\Documents\GitHub\cocoa_volatility\REPORTE_DE_EVENTOS_POR_DESASTRES_NATURALES_Y_ANTRÓPICOS_(Histórico)_20260415.csv
2026-04-16 10:11:50,067 | INFO | v2_disaster_pipeline | cleaned_registry shape: rows=970 columns=63
2026-04-16 10:11:50,201 | INFO | v2_disaster_pipeline | translated_registry shape: rows=970 columns=73
2026-04-16 10:11:50,430 | INFO | v2_disaster_pipeline | classified_registry shape: rows=594 columns=78
2026-04-16 10:11:50,516 | INFO | v2_disaster_pipeline | monthly_panel shape: rows=36 columns=23
2026-04-16 10:11:52,850 | INFO | v2_disaster_pipeline | Exported V3 integrated panel with disaster_pressure indicator.
2026-04-16 10:11:54,900 | INFO | v2_disaster_pipeline | Generated V3 integrated information figures.
2026-04-16 10:11:54,900 | INFO | v2_disaster_pipeline | Generated V3 integrated visualizations.
2026-04-16 10:12:12,362 | INFO | v2_disaster_pipeline | Rendered Pandoc outputs: {'docx': 'C:\\Users\\LEONA\\Documents\\GitHub\\cocoa_volatility\\reports\\v2\\disaster_crisis_report_v2.docx', 'pdf': 'C:\\Users\\LEONA\\Documents\\GitHub\\cocoa_volatility\\reports\\v2\\disaster_crisis_report_v2.pdf'}
2026-04-16 10:12:12,363 | INFO | v2_disaster_pipeline | Completed v2 pipeline using branch=pca_index
2026-04-16 10:13:51,805 | INFO | v2_disaster_pipeline | Running v2 pipeline on C:\Users\LEONA\Documents\GitHub\cocoa_volatility\REPORTE_DE_EVENTOS_POR_DESASTRES_NATURALES_Y_ANTRÓPICOS_(Histórico)_20260415.csv
2026-04-16 10:13:51,996 | INFO | v2_disaster_pipeline | cleaned_registry shape: rows=970 columns=63
2026-04-16 10:13:52,140 | INFO | v2_disaster_pipeline | translated_registry shape: rows=970 columns=73
2026-04-16 10:13:52,396 | INFO | v2_disaster_pipeline | classified_registry shape: rows=594 columns=78
2026-04-16 10:13:52,483 | INFO | v2_disaster_pipeline | monthly_panel shape: rows=36 columns=23
2026-04-16 10:13:54,853 | INFO | v2_disaster_pipeline | Exported V3 integrated panel with disaster_pressure indicator.
2026-04-16 10:13:56,976 | INFO | v2_disaster_pipeline | Generated V3 integrated information figures.
2026-04-16 10:13:56,976 | INFO | v2_disaster_pipeline | Generated V3 integrated visualizations.
2026-04-16 10:14:15,229 | INFO | v2_disaster_pipeline | Rendered Pandoc outputs: {'docx': 'C:\\Users\\LEONA\\Documents\\GitHub\\cocoa_volatility\\reports\\v2\\disaster_crisis_report_v2.docx', 'pdf': 'C:\\Users\\LEONA\\Documents\\GitHub\\cocoa_volatility\\reports\\v2\\disaster_crisis_report_v2.pdf', 'tex': 'C:\\Users\\LEONA\\Documents\\GitHub\\cocoa_volatility\\reports\\v2\\disaster_crisis_report_v2.tex'}
2026-04-16 10:14:15,231 | INFO | v2_disaster_pipeline | Completed v2 pipeline using branch=pca_index
2026-04-16 10:28:19,442 | INFO | v2_disaster_pipeline | Running v2 pipeline on C:\Users\LEONA\Documents\GitHub\cocoa_volatility\REPORTE_DE_EVENTOS_POR_DESASTRES_NATURALES_Y_ANTRÓPICOS_(Histórico)_20260415.csv
2026-04-16 10:28:19,590 | INFO | v2_disaster_pipeline | cleaned_registry shape: rows=970 columns=63
2026-04-16 10:28:19,711 | INFO | v2_disaster_pipeline | translated_registry shape: rows=970 columns=73
2026-04-16 10:28:19,977 | INFO | v2_disaster_pipeline | classified_registry shape: rows=594 columns=78
2026-04-16 10:28:20,066 | INFO | v2_disaster_pipeline | monthly_panel shape: rows=36 columns=23
